Name,City,Address,Lat,Lng,Code,Unknown 1,Unknown (City) 2,Timing (Mon-to-Sat),Timing (Friday),Status,Break,Unknown 3,Unknown 4,Unknown 5
SKN Communication,Kharian,Moeen Ud Din Shah (Ufone Franchise) Basement Noor Plaza Gulyana Road Kharian,32.81,73.869,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,347,
Murshed Communication,D.I. Khan,Opposite Girls College North Circular Road DI Khan,31.837,70.903,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,348,
FSS Communication,D.I. Khan,Near G F Durrani Clinic North Circular Road DI Khan,31.835,70.907,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,353,
Friends Telecom,Buner,Mira Khan Plaza Daggar Pull Opposite Dr-Gulnaz Hospital Bunair,34.4996,72.4597,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,354,
Samir Communication,Parachinar,Malik Zawar Market Nazar Bandi Chowk Opposite Eidhi Park Parachinar Kurram Agency,33.9,70.1,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,357,
Lambra Telecom,Islamabad,Office 1 Orakzai Palza Lehtrar Road Khanna Pull Islamabad,33.629543,73.117016,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,358,
Hamza Telecom,Bajour Agency,Main Bazar Khar By Pas Road Near Khyber Bank Bajour Agency,34.73,71.52,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,360,
Zia Communication,Tank,Shop 9 Shah Iran Market Main Bazar Tank,32.21,70.38,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,362,
Waqas Communication,Dargai,Ameen Plaza Near HBL Bank Main Bazar Dargae,32.98,70.62,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,363,
Farman Brother,Bannu,Ufone Franchise Norang Road Near DHQ Hospital Bannu,32.9798,70.6177,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,364,
Haiwad Enterprises,Swabi,Swabi Telecom Mardan Road Swabi,34.127269,72.4720563,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,365,
Al-Yousaf Communication,Zhob,Ufone Franchise Khawaja Khail Road Near Jama Masjid Opposite AIOU Zhob,31.344846,69.471594,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,366,
Naseer Ahmed Bacha Khan,Chaman,Ufone Franchise College Road Chaman,30.925305,66.446531,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,367,
Khawaja Communication,Lorlae,Tehsil Road Opposite Noorani Masjid Loralae,30.372424,68.597667,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,368,
Shariyar Communication,Quetta,Dr Jaffer Building Jinnah Road Quetta,30.196703,67.0115996,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,369,
Central Electronics,Quetta,Ufone Franchise ART School Road Quetta,30.212,66.99828,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,370,
Ideal Communication,Quetta,Ufone Franchise Saryaab Road Near University Of Balochistan Quetta,30.168789,66.990525,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,372,
Yasir Communication,Sibi,Near Assistant Commissioner House Shahra-E-Iqbal Road Sibi,29.548916,67.875044,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,373,
Bugti Communication,Sui,Near Bugti Petroleum Service Muhammad Colony Sui,28.639905,69.19108,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,374,
Raja Communication,Usta Muhammad,Shop 4 Near UBL Bank Chowk M-A Jinnah Road Usta Mohammad,28.178936,68.0453267,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,375,
City Mobile Communication,Shahdad Kot,Shop 2 Near JS Bank Station Road Shahdadkot,27.848312,67.9106318,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,376,
Nehal Traders,Khuzdar,Mir Chakker Khan Road Khuzdar,27.8067,66.6091,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,378,
Kech Communication,Turbat,Ufone Franchise Near ABL Bank Main Road Turbat Kech,26.00551,63.05876,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,379,
J K Communication,Mirpurkhas,New Town Near Khan Carpet Marya Hospital Mirpurkhas,25.527531,69.015925,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,380,
Muhammad Communication,Hyderabad,Shop 1-2 Block-E Plot-163 Unit-8 Latifabad Hyderabad,25.3688,68.361472,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,381,
Super Shaheen Services,Umerkot,Opposite NBP Ltd Allah Wala Chowk Umerkot,25.365819,69.7353758,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,382,
S. K. Brothers,Karachi,Shop 7 Ground Floor Super Mahal Appartment Outram Road Off II Chundrigar Road Near Bank Al-Habib Karachi,24.85024,67.00991,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,383,
Ahmed Enterprise?,Quetta,Institute Of Engineering Building Zarghoon Road Quetta,30.2088,67.0143,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,387,
Afridi Enterprises,Harnai,Pawandha Road Harnai,30.1006,67.937,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,390,
Khuzdar Telecommunication,Khuzdar,Gazgi Chowk Opposite Soneri Bank Ltd Khuzdar,27.8046,66.611,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,391,
Master Communication,Awaran,Near Master Jee Transport Main Bazar Awaran,26.4573,65.2318,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,395,
Ismail Durrani Enterprises,Chaghi,Main Bazar Chaghi,28.9804,62.4504,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,400,
Rodini Commuincation,Washuk,Rodini Commuincation Main Bazar Washuk,27.7179,64.8052,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,401,
Hurain Communication,Lahore,"Al-Madina Center, Block-B, Kotha Pind, Main Road, Faisal Town, Lahore",31.478746,74.307995,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,402,
Adnan And Rizwan Communication,Panjgoor,NEAR NBP BANK CHITKAN BAZAR PANJOOR,26.972257,64.0546,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,404,
ZAMAN COMMUNICATION,Sahiwal,Railway Road Near Model Bazar Sahiwal,30.660377,73.105911,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,405,
Hammad & Co,Pind Dadan Khan,Near MCB Shalimar Chowk Pind Dadan Khan District Jhelum,32.588,73.045,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,406,
S&M Communication,Lalamusa,"Opposite Zong Franchise, Near Pakistan Bakers & Sweets, Main GT Road, Lalamusa",32.697858,73.95707,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,407,
Chaudhary Communication,Silanwali,"Near Nadra office, cinema road Silanwali",31.4938,72.3242,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,418,
Range,Lahore,"Shop # 24, Block B-2, Near Education University, College Road, Township, Lahore.",31.454792,74.300399,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,420,
Butt Traders,Mandi Bahauddin,Cheema Chock opposite Mashallah Plaza Phalia road Mandi Bahauddin,32.5789,73.4809,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,423,
Akram and Son Communication,Mianwali,"Ballo Khail Road,Opposite Al-Barka Bank Mianwali",32.583038,71.532295,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,425,
Sardar Communication,Mansehra,Shop # 5 Sultan plaza near Larri adda opposite Nadra office Mansehra,34.2107,73.1206,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,426,
FAIZAN COMMUNICATION,Pishin,Near Cantt Rest House Main Pishin Road,30.57724,66.99453,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,427,
Sky link Communication,Taxila,"Main GT Road ,Near Meezan Bank Taxila",33.73631,72.80001,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,428,
AL MADINA TELECOM,Mingora,"Ufone Franchise, Continental Plaza, Saidu Road, Makan Bagh, Mingora, Swat",34.768187,72.359961,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,430,
Total CDMA,Islamabad,"Shop No. 1, Arshad Shareef Plaza, G-11 Markaz, Islamabad",33.6692,72.9984,242,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,433,
Asim Communication,D.G. Khan,Pull Dot Jampur road Near UBL Bank DG Khan,30.030884,70.640672,UFRPJR0002,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,434,
ATTA Communication,Khushab,"Shop#18, First Floor, Thana Market Khushab",32.295307,72.349358,UFRSAH0006,0,Sahiwal,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,435,
M.M Communication,Karachi,"SHOP NO.02, SHADMAN APARTMENT, U.K.C.H.S, COMMERCIAL AREA, BLOCK-7 & 8, OPP. BURHANI MASJID, OFF SHAHEED-E-MILLAT ROAD, KARACHI.",24.869456,67.082284,,0,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,437,
Hamdan Telcom,Chiniot,City Trade Center Near Dhq Hospital Sargodha Road Chiniot,31.72349,72.98685,UFRLAL0002,5,Gujranwala,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,642,
NEW Choti Mobile Communication,Choti Zirin,Main Chowk Near Dr Zubair Chingwani Hospital Choti Zirin Tehsil Kot Chutta,29.844354,70.493177,UFRSWL0002,1,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,645,
Hussain Communication,Muzaffargarh,Jhang Morr Opposite Oasis hotel Muzaffargarh,30.077927,71.185632,UFRLHE0038,1,Lahore-1,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,648,
Malik Telecom,Nowshera,Main bazar Nowshera,34.0054,71.9874,UFRMBD0003,1,Gujranwala,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,652,
Rashid Mobile Center,Pabbi,Madina Market Near TCS Office Pabbi Opposite Masjid e Quba GT Road Pabbi,34.0101,71.79131,UFRMWL0004,1,Faisalabad,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,653,
M Anwer Communication,Dukki,Main Bacha Khan Chock Near Meezan Bank Khajori Chock Bypass Road,30.1562,68.57442,UFRMNH0004,5,North-1,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,654,
Smart People Technologies,Lahore,"Ufone Franchise, Al Meraj Arcade, Chowk Choburji, Lahore",31.554323,74.305475,UFRPSN0002,4,QUETTA,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,656,
YASEEN TELECOMUNICATION,Charsada,"Faheem Khan Market, Near Bank Of Punjab, Main Bazar Tangi",34.2930061,71.6519914,UFRTXL0002,5,Islamabad,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,666,
Saim Communication,Layyah,"Ufone Franchise, Chobara Road, Near Dr. Feroz Hospital, Layyah",30.965958,70.946709,,1,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,677,
Bhatti And RAJPOOT Telecom,Bhalwal,Liaqat Shaheed Road Bhalwal opposite national bank,32.2692,72.904,,1,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,678,
,,,,,,1,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,679,
,,,,,,1,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,680,
,,,,,,1,,9:00 AM to 7:00 PM,9:00 AM to 7:00 PM,CLOSED,,1,682,
