Name,City,Address,Lat,Lng
BISMILLAH MOBILE AND FOTO SHOP,Mianwali,NEAR PAF GATE MIANWALI,,
Zam Zam Super Store,Mianwali,"NA, Gulberg Chowk Mianwali City, Mianwali, NA Mianwali, Multan",,
TAHQBEER SUPER STORE,Mianwali,GOVT HIGH SCHOOL ROAD MIANWALI,,
annayat mobile,Mianwali,paikhelmianwali,,
HK Mobile Shop,Pipplan,Main Bazar Near Thana Masjid Tehsil Piplan District Mianwali,,
Naveed B/D,Mianwali,"TALAGANG ROAD MIANWALI, Mianwali, N/A Mianwali, Sargodha",,
WAQAR MOBILE,Mianwali,MUSA KHEL MIANWALI,,
Hamza mobile,Mianwali,"BUS STAND MIANWALI, Mianwali, N/A Mianwali, Sargodha",,
shekh photostate,Mianwali,"ZAKA CENTRE MIANWALI., Mianwali, N/A Mianwali, Sargodha",,
Marwat Mobile Shop,Pipplan,Wapda Colony Tehsil Piplan District Mianwali,,
RAOF MOBILE,Mianwali,WAN BACHRAN MIANWALI,,
ZEESHAN K/S,Mianwali,BALOO KHEL ROAD MIANWALI,,
khan kiryanna,Mianwali,ghulab khel mianwali,,
ameer mobile,Mianwali,tarag shareef mianwali,,
Ali Mobile Shop,Kundian,Al-Masoom Chowk Kundian Tehsil Piplan District Mianwali,,
Waseem BD,Mosa Khel,"MAIN ADA MOSA KHEL, Mianwali, N/A Mianwali, Sargodha",,
QAISER MART,Mianwali,WATA KHEL CHOK MIANWALI,,
Gohar mobiel,Chakrala,"MAIN ADA CHAKRALA, Mianwali, N/A Mianwali, Sargodha",,
TARIQ CUSTOMER SERVICE CENTER,Pipplan,MAIN BAZAR PIPLAN DISTRICT MIANWALI,,
Hkamt Mobile,Kalabagh,"na, Daud khel, Mianwali, na Mianwali, Multan",,
umar mobile,Jalalpur Jattan,chandni chowk Jalalpur jattan,,
Bssam Bakers,Jalalpur Jattan,Meer Abdul Ghani Chowk Jalalpur Jattan Gujrat,,
Iqbal General Store,Jalalpur Jattan,Bazar Loharan Near Mashine Shop Jalalpur Jattan,,
Alshaikh General store,Jalalpur Jattan,Moh.Shair shahi Jalalpur Jattan,,
Zindagi computer,Gujrat,Mohalla iqbal calony Jalalpur jattan Gujrat,,
Naqash Butt,Gujrat,Near Ghousia M0sque Iqbal calony Jalalpur Jattan,,
MUDASSAR MOBILES,Bhakkar,"na, MM ROAD , CHOWK SARAY MAHJIR TEHSIL MANKERA DISTRI, Bhakkar, na Bhakkar, Bhakkar",,
Olakh Mobiles,Bhakkar,36 Chowk Tehsil & Distt Bhakkar,,
Abbas Mobiles,Bhakkar,Kotla Jam Bhakkar,,
Abid Mobiles,Bhakkar,Mandi Town Bhakkar,,
Sadat Mobile,Bhakkar,Khansar Distt Bhakkar,,
Al Farooq Mobiles,Jhang,Bhakkar Road Adda 18 Hazari Jhang,,
Baloch Mobile2,Jhang,Bhakkar Road Near Bata Shoes Jhang,,
Dani Mobiles,Bhakkar,Kotla Jam Bhakkar,,
Bilal Mobile,Jhang,Bhakkar Road Jhang sadar,,
Saim Mobiles,Bhakkar,Khansar Chowk Bhakkar,,
Hasnain Bobi Mobiles,Bhakkar,Kalurkot Kot Road Bhakkar,,
Tabassum Karyana,Bhakkar,Dajal Bhakkar,,
Al Hamad Mobile,Bhakkar,Lari adda Kaloor kot District Bhakkar,,
Bait ul Mueez Mobiles & Computers,Bhakkar,Gharbi Bazar Bhakkar,,
Abbas Mobiles,Bhakkar,sardar Bakhsh Road Bhakkar,,
Waqas Mobiles,Bhakkar,Behal City Bhakkar,,
Al Hamd Karyana,Bhakkar,Kotla Jam Bhakkar,,
Al Fazal Mobiles,Bhakkar,Behal City Bhakkar,,
Ali Computers,Bhakkar,DHQ Bhakkar,,
Muhammad Mobile,Bhakkar,Mandi Town Bhakkar,,
Ahmed Din Karyan Store,Bhakkar,BHAKKAR,,
Irfan Autoz,Bhakkar,Arra Adda tehsil Mankara District Bhakkar,,
Cell Zone,Bhakkar,36 Chowk Bhakkar,,
Shahzeb Mobiles,Bhakkar,Chak NO. 34 TDA Bhakkar,,
Danish Mobiles,Bhakkar,Chungi NO. 8 Distt Bhakkar,,
Rauf Mobile,Jhang,Bhakkar Wali Chongi Near Dr.Sajjad Clinic,,
Azhar Mobiles,Jhang,Bhakkar Road near Purani Chungi Jhang,,
Munsif Mobiles,Bhakkar,Mahni Tehsil Mankera Distt Bhakkar,,
Jara Traders,Bhakkar,"Railway Road, Bhakkar",,
Imran Karyana Store,Bhakkar,Main Bazar Chheena Bhakkar,,
Hazara Karyana Store,Khairpur,Mandi Town Bhakkar,,
Shazil Zafar PCO,Bhakkar,Khansar Distt Bhakkar,,
