Name,City,Address,Lat,Lng
AMIR COM,Karachi,PLOT NO20798 SEC 50/A KORANGI 4 KARACHI,,
amir com,Karachi,h no 2 st no 11 sec 35/b korangi no 5 karachi,,
NOMAN COMM,Karachi,SHOP NO 1 4/D 85/12 LANDHI NO 6 KARACHI\,,
TAHIR SUPER STORE,Karachi,"SHOP # 1, H # Q-8,9 SHEET-27 MODEL COLONY KARACHI",,
Bismillah Hamza Communication,Karachi,Shop # 3/5 E Abbasi Market Model Colony Karachi,,
SAAD COMMUNICATION,Karachi,"SHOP 3 TAHIR COMPLEX OPP. AHMED SWEETS SADDAR, KARACHI",,
HY Communication,Karachi,"H# 3/16, Commercial Area , Shah Faisal Colony 3, Karachi",,
Bakkar Comm,Karachi,"NA, Shop No 3 Plot 12/2 Sec 11-F New Khi, Karachi, NA Karachi, Karachi G.P.O.",,
Haroon G/S & Bakery,Karachi,"M-C130-132 mujhaid colony nazamabad near fire station Nazamabad Pathan colony karachi, Karachi, N/A Karachi, Karachi Nazi",,
Shaikh Salman Communication,Karachi,"Shop no L-S 21 , Sec 8 L , Main Road Qatar Hospital , Orangi Town, Karachi, N/A Karachi, Abbottabad",,
S.S.Communication,Karachi,"NA, H#661,Thorani Goth,Orangi Town Sec 15-D KHI, Karachi, NA Karachi, Karachi G.P.O.",,
HUSSAIN COMMUNICATION,Karachi,SHOP NO. 1 PATHAN COLONY SITE TOWN KARACHI,,
IQRA Communication,Karachi,Khwaja Ghareeb Nawaz Market Oragi Town #10 Karachi,,
Ahmed Communication,Karachi,"Shop no 01 , Main Islam Chowck , Sec 11.1/2 , Orangi Town , Karachi, Karachi, N/A Karachi, Abbottabad",,
Aryan Estate Builders,Karachi,"Office No.13-AB,Plot No.ST-6",,
Bilal Communication,Karachi,"H # C1-69 , Sec 11 , Bait-ul-Hammad , Near 5 no Chowrangi , Orangi town , Karachi, Karachi, N/A Karachi, Abbottabad",,
SADAF COMMUNICATION,Karachi,"NA, SHOP NO 3 HOUSE L-1415 RABBI COLONY SECTOR NO 10 ORANGI TOWN KARACHI, Karachi, NA Karachi, Karachi G.P.O.",,
Hakeem Communication,Karachi,"NA, Shop #3&9, Khaiber market, Matrovil SITE, karachi, Karachi, NA Karachi, Karachi G.P.O.",,
New Faisal,Karachi,"Baacha Khan Chowk,sharah Banarus,Orangi Town Khi, Karachi, N/A Karachi, Abbottabad",,
Nadia Communication,Karachi,"shop 2, Plot 454 sector P-4 bijli nagar, Karachi, N A Karachi, Karachi G.P.O.",,
New Uneque Communication,Karachi,Shop #1; Faqeer Colony ;Orangi Town karachi,,
Junaid Communication,Karachi,Shop # 2; Labour Squire; SITE karachi,,
Mukhtar Communication,Karachi,"NA, Shop # 3, Near Banooria masjid , SITE Karachi, Karachi, NA Karachi, Karachi G.P.O.",,
A F Communication,Karachi,Shop #1; Sector #10 Orangi Town ; Karachi,,
MS communication,Karachi,Shop no; 01 Al Sadaf Chowk; Orangi Town Karachi,,
wasi comminication,Karachi,House No L-652 sector 52 NORTH KARACHI,,
Al Azmat Comm,Karachi,House No R-89 Sector 5-B/1 North karachi,,
Talha Communication,Karachi,Shop No 4 Sec 12-B North Karachi,,
Sharazi Mobile Zone,Karachi,"Shop#2.Sec.5-G .Block D Haji Ibraheem Khamisa Ghoth, Karachi, N/A Karachi, Karachi Korangi",,
Khan Cammunication,Karachi,"Shop#1,Sec5-f,Block.85/1 new Karachi, Karachi, N/A Karachi, Karachi Korangi",,
KARACHI COMMUNICATION,Karachi,SHOP#3 PLOTE#4C/8 NAZIMABAD#4 NEAR ABDULLAH FLOOR MILL,,
MAHNOOR COMMUNICATION,Karachi,SHOP NO 1 CHOTA MAIDAN NAZIMABAD KARACHI,,
ComputerTec & Comm,Karachi,"S.No, 27,Anum Pride Shaheed -e-Millat Road Karachi.",,
Bismillah comm,Karachi,"1, Shop # F-114/1 malir khokrapar No 2 karachi, Karachi, N/A Karachi, Karachi Cantt",,
GHANI COMM,Karachi,SHOP # 1 ADAMJEE ROAD LANDHI KARACHI,,
Big Bite Comm,Karachi,"Shop No 02, Machi Market garden west karachi.",,
Zubair Communication,Karachi,"Plot # 2/1 Shop # 01, Central Jacob Line Near German Hotel Khi, Karachi, NA Karachi, Karachi City G.P.O.",,
Zeeshan Pco & G.Store,Karachi,"Shop # 03 Al-Malik Centre Near G-3 Bus Stop Jahang, Shop # 03 Al-Malik Centre Near G-3 Bus Stop Jahang, Karachi, N A Karachi,",,
Pak Madina Photo Stat,Karachi,"Shop # 01, Bilal Masjid Preedy Police Station Khi, Karachi, NA Karachi, Karachi City G.P.O.",,
Iqbal Office,Karachi,"Shop#1,KECHS Market Near Ambala Sweet, Karachi, N/A Karachi, Karachi City G.P.O.",,
Khailgee Communication,Karachi,"Pak Jamhooria Colony, Near PNS Shifa., Karachi, N/A Karachi, Karachi Defence",,
786 store,Karachi,h no 554 g area korangi karachi,,
MashaAllah Photostate & PCO,Karachi,"Shop no 8, Hockey Stadium Road, Infront of NICH Hospital, Karachi., Karachi, N/A Karachi, Karachi Defence",,
Qudratuulah Mobile,Karachi,"Shop no 1, Khadija Market, Shamim Masjid, Dehli Colony., Karachi, N/A Karachi, Karachi Defence",,
IRFAN COM,Karachi,SHOP 5 STREET 6 DEHLI COL KARACHI,,
NASIR G/S,Karachi,BABA MIRA ROAD MACHER COLONY KARACHI,,
King Communication,Karachi,"Plot No 93-C, Shop No 3, Phase 4, 9th Commercial, DHA, Near Silk Bank., Karachi, N/A Karachi, Karachi Defence",,
AHMED COM,Karachi,"SHOP#E-8 YOSUF PLAZA BL#16 FB AREA KHI, Karachi, N/A Karachi, Karachi City G.P.O.",,
Muhammadi Medical,Karachi,H#L-282 sector 5/D Surjani town karachi,,
Asad Communication,Karachi,"Shop # 03, N-639, Sector 7-C, Surjani Town, Karachi, Karachi, N/A Karachi, Karachi Korangi",,
AL MAKKAH MOBILE,Lahore,ANUM ROAD LAHORE,,
KARMAWALA MOBILE,Lahore,MOHALA SITARA COLONY CHUNGI AMAR SIDU LAHORE,,
Al Rehman Mobile,Lahore,zaildar road ichra lahore,,
6th Cell Communication,Lahore,Koonj Pura Sabzazar B Block Multan Road Lahore,,
Aqib Mobile,Lahore,Kasmiri Street Niazi Adda Band Road Lahore,,
MUGHAL COMMUNICATION,Lahore,MAIN SPORTS CAFE OPP FOOTBALL STADIUM UET GT ROAD LAHORE,,
NAVEED MOBILE,Lahore,MAIN GHAZI ROAD LAHORE,,
Mobi Zone,Lahore,Lyton Road Janaz Gah Chowk Near HBL Bank Lahore,,
M.S Mobile,Sheikhupura,Lahore hotel bazar,,
Qurashi Mobile,Lahore,Firdous Market Gulberg lahore,,
Sadad Mobile,Lahore,Rehmat chowk madina colony cantt lahore,,
Maqsood Madical Store,Lahore,Kohariyan Barki Lahore,,
Ayyan Mobile,Lahore,Bhatta Chowk DHA Lahore,,
Maxi audio,Lahore,Main Defence Morh DHA Lahore,,
Cheema Mobile,Lahore,R.A Bazar Lahore Cantt,,
Ghousia Store,Lahore,Yateem Khana Bazazar Lahore,,
101 Net Cafe,Lahore,"shop # 7,civic center subhan plaza mustafa town lahore",,
SELFI MOBILE,Lahore,33 AZIZ ROAD MISRI SHAH LAHORE,,
Raja Pco,Lahore,Lakhmi chowk lahore,,
MUNEER MOBILE,Lahore,SECTOR A2 CHINA SCHEME LAHORE,,
COMPUTER VILLAGE,Lahore,AWAN MARKET LAHORE,,
Pepsi Shop,Lahore,Paragon City Barki Road Lahore,,
Asim Mobile,Lahore,Main walton road opposit Toyota cantt lahore,,
Nafees Mobile,Lahore,"D-3791 in side mori gate Lahore, Lahore, N/A Lahore, Lahore G.P.O.",,
euro1,Lahore,Airport Road Lahore DHA Lahore,,
Rana Mobile,Lahore,Chowk Ghora Hospital Hotta SIngh Road Santnager Lahore,,
Ahmad Mobile,Lahore,"T#4, Band Road Lahore",,
Raja Pan Shop,Lahore,G-1 Kacha Hall Road Lahore,,
IRFAN MOBILE,Lahore,MAIN OLD LARI ADDA BADAMI BAGH LAHORE,,
TARIQ MOBILE,Lahore,ABUBAKAR ROAD LOHAY WALIPULI QADAFI CLY BADAMIBAGH LAHORE,,
MUNEER SONS MOBILE,Lahore,sector B2 CHINA SCHEME LAHORE,,
HOTLINE MOBILE,Lahore,Chah Miran Lahore,,
DOST MOBILE,Lahore,"MAIN AMIR ROAD ABUBAKAR STREET NEAR GANDA NALA, Lahore, N/A Lahore, Lahore G.P.O.",,
MEHER PCO,Lahore,MAIN SHAHBAZ ROAD SHADBAGH LAHORE,,
ABDUL LATIF P.C.O,Lahore,"SHAHBAZ ROAD BHAGHATPURA SHADBAGH LAHORE, Lahore, N/A Lahore, Lahore G.P.O.",,
Ahsan Mobile,Sharaqpur,Lahore garden kot noor shah,,
Umeer & Navied Mobile Shop,Lahore,Food ST Gowelmandi LAHORE,,
AZA Mobile,Lahore,Lidhar Pind Bedian Road DHA Lahore Cantt Lahore,,
al Hajvery Mobile,Lahore,Gol Market Y Block DHA Lahore,,
Saleem Mobile ..,Lahore,"Main Bazar, Furkhabad, Near Moon PCO,shahdra, lhr, Lahore, N/A Lahore, Lahore Shahdara - Bagh",,
friends mobile,Lahore,c block mini market model town lahore,,
MD mobile,Lahore,shop#5 central commercail market model town lahore,,
jani customer centre,Lahore,flat 132 g block n madel town extension lahore,,
HAFIZ MOBILE,Lahore,"NA, DILKASHAN ROAD, KOT LAKH PAT LAHORE, Lahore, NA Lahore, Lahore G.P.O.",,
ORANGE MOBILE,Lahore,LAST BUS STOP WAFAQI COLONY LAHORE,,
HAFIZ MOBILE,Lahore,"AINAK MARKET MAIN BAZAR ICHRA, Lahore, N/A Lahore, Lahore Iqbal Town",,
Qasim Mobile,Lahore,Main Bazar haji kot shahdra lahore,,
Midway Bakers,Lahore,247 kashmir block allama iqbal town lahore,,
NEXT MOBILE,Lahore,IQBAL TOWN NEELAM BLOCK NEAR ALSHIFA CLINIC LAHORE,,
GHULLAM QADIR MOBILE,Lahore,MAIN BAZAAR KHOKHAR ROAD BADAMI BAGH LAHORE,,
Hafiz Super Store,Sillanwali,"NA, Beli Chowk, Chiniot, NA Chiniot, Faisalabad",,
Hafiz G Communication,Okara,Faisalabad Road Okara,,
Mashallah Mobiles,Okara,Chak 38/2RA Baba Farid Shugar Mills Faisalabad Road Okara,,
Al fareed genral store,Okara,Hussain super market faisalabad road okara,,
ZEESHAN MOBILE,Sheikhupura,SHARAQPUR CHOWK FAISALABAD ROAD SHEIKHUPURA,,
Smart Mobiles,Faisalabad,Subhanallah Chowk; Gmabad; Faisalabad.,,
NOOR MOBILE2,Faisalabad,"CHAK 66 DANDHRA,FAISALABAD",,
IBRAHEEM COMMUNICATION,Tandlianwala,KINAL ROAD TEHSEEL TANDLIANWALA DIST FAISALABAD,,
The Choice Mobile,Faisalabad,"Ali Town sargodha road faisalabad, Faisalabad, N/A Faisalabad, Faisalabad",,
MADINA MOBILE & CD CENTER,Faisalabad,"NA, KHURRAM CHOWK NIAMAT COLONY ST # 9 TAIZAB MILL, Faisalabad, NA Faisalabad, Faisalabad",,
FIAZ MOB,Faisalabad,"AKHRI STOP JARANWALA ROAD FAISALABAD, Faisalabad, N/A Faisalabad, Faisalabad",,
ALI PCO,Faisalabad,SADHAR MANDI SHOP NO.79 FAISALABAD,,
attari k/s,Jaranwala,"128 chak, Faisalabad, N/A Faisalabad, Faisalabad",,
GRACE MOBILE,Faisalabad,"MULAN PUR ROAD,SADHAR FAISALABAD",,
Al-Miraj Traders,Faisalabad,"P-921 ST#12 ISLAMNAGAR, Faisalabad, N/A Faisalabad, Faisalabad",,
Farooq Mobile,Faisalabad,"1, Main Bazar; razabad # 3; Fsd, Faisalabad, N/A Faisalabad, Faisalabad",,
Bilal Mobile 0012,Faisalabad,"NA, Bakar mandi Rajba road Liaquat abad, Faisalabad, Faisalabad, NA Faisalabad, Faisalabad",,
GALAXY MOBILE SHOP,Faisalabad,DHANOLLA STOP MILLAT ROAD FAISALABAD,,
darola ahsan 3,Shahkot,"school bazar tandlianwala, Faisalabad, N/A Faisalabad, Jhang",,
Talha Mobile 001,Faisalabad,"NA, Chooti 79, Faisalabad, Faisalabad, NA Faisalabad, Faisalabad",,
Al Huda PCO,Faisalabad,"NA, ABC road, Faisalabad, Faisalabad, NA Faisalabad, Faisalabad",,
Amjad Medical Store,Faisalabad,"1, Main Bazar Marzi Pura; Taliyan wala Road;, Faisalabad, N/A Faisalabad, Faisalabad",,
Gudu Mobile,Faisalabad,"1, St # 6; Madina Abad; FSD, Faisalabad, N/A Faisalabad, Faisalabad",,
Jannat Mobile,Faisalabad,"1, Main Gurunanak Pura Road; Near Badar Bakery; FSD, Faisalabad, N/A Faisalabad, Faisalabad",,
Malik Mobile,Faisalabad,"1, Melad Road; St # 3; Gulshan Colony; FSD, Faisalabad, N/A Faisalabad, Faisalabad",,
HUSSNAIN MOBILE SHOP,Sargodha,49 TAIL FAISALABAD ROAD SARGODHA,,
Ahsan Mobile,Faisalabad,"1, Main Qadirabad Chowk; Gmabad; FSD, Faisalabad, N/A Faisalabad, Faisalabad",,
Rehman Mobile,Faisalabad,"1, Main Tariq Road; Near Gausia Masjid; FSD, Faisalabad, N/A Faisalabad, Faisalabad",,
Mian King Mobile,Faisalabad,"Chak 215 Rb Islam Pura Jaran wala road Fiaslabad, Faisalabad, N/A Faisalabad, Faisalabad",,
MIAN UMER MOBILE,Faisalabad,"BANK STOP,66DANDHRA,FAISALABAD",,
WARICH MOBILE,Faisalabad,359/A GULISTAN COLONY#2 MILAT CHONK FAISALABAD,,
UMAIR MOBILE,Faisalabad,JAMEEL ABAD FAISALABAD,,
Bissmaila Mob,Faisalabad,"1, Main bazar elahi abad fsd, Faisalabad, N/A Faisalabad, Faisalabad",,
Khizra Mobile,Faisalabad,"1, Peoples coloney #1, Faisalabad, N/A Faisalabad, Faisalabad",,
JUNAID K/S,Faisalabad,H#P322; ST#10; MOHALLA TARIQABAD; FAISALABAD,,
Nadeem PCO,Samundri,"466 Road Samundri, Faisalabad, N/A Faisalabad, Jhang",,
Waseem Mobiles,Samundri,"FSD Road Near Wapda House Samundri, Faisalabad, N/A Faisalabad, Jhang",,
Rahman butt mobile,Shahkot,"kajwani city, Faisalabad, N/A Faisalabad, Faisalabad",,
Qasir Karyana Store,Adda Painsra,Chak No 257 Jhangir More The & Distt Faisalabad,,
Hamza Mobile Center,Samundri,"Mandi Bazar Samundri, Faisalabad, N/A Faisalabad, Jhang",,
RAHEEM MOBILE SHOPE,Sangla Hill,FAISALABAD ROAD SANGLA HILL,,
Ali Book Shop,Faisalabad,"1, Main Narwala Road; FSD, Faisalabad, N/A Faisalabad, Faisalabad",,
Mr RAO MOBILE ZONE,Faisalabad,SHADAB PULI;SANI ROAD FAISALABAD,,
ZAHAIR PCO,Faisalabad,"GUMTI CHOWK RAIL BAZAR, Faisalabad, N/A Faisalabad, Faisalabad",,
khan mobile,Shahkot,"rahmay shah main chowk, Faisalabad, N/A Faisalabad, Jhang",,
Zam Zam Mobile House,Sheikhupura,Adda Ferooz Watwan faisalabad road Sheikhupura,,
FM Mobiles,Okara,Faisalabad Road Sathghara Morr Okara,,
Abid PCO,Okara,Chak 20 GD Faisalabad Road Okara,,
Punjab Mobiles,Okara,Chak 38/2RA Faisalabad Road Okara,,
SADIQ D/C,Multan,"CHOWK CIVIL HOSPITAL MULTAN, Faisalabad, N/A Faisalabad, Faisalabad",,
Mishaal Mobile,Murree,Kundaan Dewal Road Tehsil Murree Dist Rawalpindi,,
Al-Makkah Mobile,Rawalpindi,"NA, Shop # 20 Main Bazar Mohallah Raja Sultan, Rawalpindi, NA Rawalpindi, Rawalpindi G.P.O.",,
Adnan Communication 2,Rawalpindi,Main adeyala road Gurak pur stop Rawalpindi,,
SHEIKH MOBILE,Rawalpindi,"na, JARAHI STOP ADYALA ROAD, Rawalpindi, na Rawalpindi, Rawalpindi G.P.O.",,
R.K Mobile,Rawalpindi,"1, Dhoke CH Maharban Ali near barma sheel depo rawalpindi., Rawalpindi, N/A Rawalpindi, Rawalpindi G.P.O.",,
#N/A,Hassan Abdal,"NA, Bahtar More GT Road Wahcantt, Wah Cantonment, NA Rawalpindi, Wah",,
safeer photo state,Gujar Khan,"1, buss stop syed adda chakwal road mandra, Gujar Khan, N/A Rawalpindi, Gujar Khan",,
Apna PCO,Murree,Phaghwari Tehsil Murree Dist Rawalpindi,,
NAVEED BOOK,Rawalpindi,Near PO; Main pirwadhai road; rawalpindi,,
Shahzaib Communication,Rawalpindi,Main Kartar pura Chowk; Kartar pura; Rawalpindi,,
Electro Mall,Rawalpindi,Awan Market; Khayaban Sir syed; Rawalpindi.,,
Khan Mobile,Rawalpindi,Fuji colony; Pirwadhai Rawalpindi.,,
Sapace Mobile,Rawalpindi,Morgah Main Bazar Near Attoack Oil Refinery Rawalpindi,,
bismilah pco,Gujar Khan,"na, cabin markeet servics road, Rawalpindi, na Rawalpindi, Rawalpindi G.P.O.",,
Y & I Communication,Rawalpindi,Shop 7B behria Heights 3 Behria town phase 4 Rawalpindi,,
HAMZA MOBILE,Rawalpindi,Iqbal Town; Dhok Kala Khan; Rawalpindi,,
Sunny Mobile,Rawalpindi,Main Jahangeer Road Sir Syed Chowk Rawalpindi,,
3G Comm 1,Rawat,"na, Channi Bazar Kahota, Rawalpindi, na Rawalpindi, Rawalpindi G.P.O.",,
CLASSIC MOBIL SHOP,Rawalpindi,"NA, SHOP#1,OPP QUALITY CNG,KURRI ROAD RWP, Rawalpindi, NA Rawalpindi, Rawalpindi G.P.O.",,
JIBRAN PCO,Rawalpindi,"NA, RANG ROAD RAWALPENDI, Rawalpindi, NA Rawalpindi, Rawalpindi G.P.O.",,
AHSEN MOBILE,Rawalpindi,"na, NEAR ST#2,OPP PUNJAB BANK CHARAH ROAD RWP, Rawalpindi, na Rawalpindi, Rawalpindi G.P.O.",,
Sharp college Books Depot,Rawalpindi,"NA, shop # D-836-1, 5th Road, Near Govt. College for B, Rawalpindi, NA Rawalpindi, Rawalpindi G.P.O.",,
S S MOBIL,Rawalpindi,"NA, SHOP#4,AFFANDI COLONY CHOWK,CHARAH ROAD RWP, Rawalpindi, NA Rawalpindi, Rawalpindi G.P.O.",,
BAO G MOBILE,Rawalpindi,"na, SHOP#1,DANYAL PLAZA,TROLLY ADDA ROAD RWP, Rawalpindi, na Rawalpindi, Rawalpindi G.P.O.",,
CITY MOBILES AND BOOKS,Rawalpindi,"kurri road near pulli sadiqbad rawalpindi, kurri road near pulli sadiqbad rawalpindi, Rawalpindi, N A Rawalpindi, Rawalpindi",,
Awami Mobile,Rawalpindi,"PINDORA CHOUNGI SAIDPUR ROAD RWP, Rawalpindi, N/A Rawalpindi, Rawalpindi G.P.O.",,
MALIK PCO,Rawalpindi,7TH ROAD RAWALPINDI,,
Rameez Books,Rawalpindi,MUHALLAH RAJA SULTAN ASGHER MALL RAWALPINDI,,
Music Hut Mobile,Rawalpindi,NATIONAL BANK PINDORA RAWALPINDI,,
OK mobile,Rawalpindi,F-97B satelite town rawalpindi,,
AL MASHDI PCO,Rawalpindi,"H E 120, E BLOCK SATTALITE TOWN RWP, Rawalpindi, N/A Rawalpindi, Rawalpindi G.P.O.",,
Awami Customer Service,Rawalpindi,Asgar mall chowk; said pur road; rawalpindi,,
Adeel & Rehan Mobile,Rawalpindi,Kohati Bazar; Rawalpindi,,
PUNJAB PHOTO,Rawalpindi,"SHOP: ASGAR MALL ROAD OPP AL SIDDIQUE PUBLICE SCHO, SHOP: ASGAR MALL ROAD OPP AL SIDDIQUE PUBLICE SCHO, Rawalpindi, N A Rawal",,
ZOBAIR PCO,Rawalpindi,"1, SHOP# 12 MAIN KHSHMIRE BAZAR RWP, Rawalpindi, N/A Rawalpindi, Rawalpindi G.P.O.",,
SADDIQUE C/S,Rawalpindi,"SHOP# 3 PLAT # 552 PIPE LINE RAHEEMABAD RWP, SHOP# 3 PLAT # 552 PIPE LINE RAHEEMABAD RWP, Rawalpindi, n Rawalpindi, Rawalpind",,
BISSMILLAH PCO,Rawalpindi,"NA, SHOP# BISSMILLAH PCO CHAMANZAR RWP, Rawalpindi, NA Rawalpindi, Rawalpindi G.P.O.",,
IMRAAN PCO,Rawalpindi,"na, SHOP: IMRAAN PCO CHAMANZAR COLONY RAILWAY SCHEEM #, Rawalpindi, na Rawalpindi, Rawalpindi G.P.O.",,
Sweet Tones,Rawalpindi,"na, Shop # 676 & 677, New Sarafa Bazar, Rawalpindi, Rawalpindi, na Rawalpindi, Rawalpindi G.P.O.",,
YAQOOB PCO,Rawalpindi,"na, PER WADHI MOR, Rawalpindi, na Rawalpindi, Rawalpindi G.P.O.",,
BUDDIZ COMMUNICATION,Rawalpindi,"na, SHOP#14,BASEMENT UMAIR PLAZA 6TH ROAD RWP, Rawalpindi, na Rawalpindi, Rawalpindi G.P.O.",,
Usman Gernal Store & Mobile,Rawalpindi,"NA, Opposite Tarffic Police Office, Main Road Pirwadha, Rawalpindi, NA Rawalpindi, Rawalpindi G.P.O.",,
Nasir Communication,Rawalpindi,"na, MAIN BAZAR NASSERABAD, Rawalpindi, na Rawalpindi, Rawalpindi G.P.O.",,
Qurashi Electric,Rawalpindi,"Shop#1 Street#10 Jhanda Chichi Rwp, Rawalpindi, N/A Rawalpindi, Rawalpindi G.P.O.",,
Hussan Mobile,Rawalpindi,"2, Shop#2 Street#10 Dhock Chargdin Rwp, Rawalpindi, na Rawalpindi, Rawalpindi G.P.O.",,
Sundar communication,Rawalpindi,"1, Dhoke Mustaqeem, Rawalpindi, N/A Rawalpindi, Rawalpindi G.P.O.",,
HASSNAIN PCO,Rawalpindi,"NA, HADDER ROAD SADDER RAWALPINDI, Rawalpindi, NA Rawalpindi, Rawalpindi G.P.O.",,
ZESHAN MOBILE,Rawalpindi,"na, SHOP#1 SARDAR PLAZA MANIN BAZAR SHAH KHALID COLONY, Rawalpindi, na Rawalpindi, Rawalpindi G.P.O.",,
Mulla Gee PCO,Rawalpindi,Hafiz Abad; Dhok Hasu Chowk; Rawalpindi,,
SHAHZADA WAZIRISTAN SHOP.,Rawalpindi,"1, LAST STOP;TENCH BATA;RWP, Rawalpindi, N/A Rawalpindi, Rawalpindi G.P.O.",,
Kuku Mobile,Sheikhupura,gujranwala Rd khanka dogra,,
Aasi Computer,Gujranwala,Opp Main Gate Board Office Gujranwala,,
Asim Mobile,Gujranwala,Arsaal Colony Sheikh Manzoor Wala Gala Gujranwala,,
Ali Netcafe,Gujranwala,Attah Mohammad Road Shaheenabad Gujranwala,,
Asim Mobile,Gujranwala,Jinnah Colony Sheikh Pura Road Gujranwala,,
Arham Mobile,Gujranwala,gurjakh road gujranwala,,
AL NOOR MOBILE,Satllite Town,"FLAT # 369 MUHALLAH SATLLITE TOWN BLOCK B GUJRANWALA, Gujranwala, N/A Gujranwala, Gujranwala",,
ALI MOBILE,Gujranwala,TRANSFARMER CHOWK BILAL ROAD HAFIZABAD ROAD GUJRANWALA,,
786 Mobile,Gujranwala,Main Qabrastan Road Gharjak Gujranwala,,
Daniyal BROS,Gujranwala,Main Bazar Kashmir Colony Gujranwala Cantt,,
Madina BIP,Gujranwala,Muhala Islamabad Gondla Wala Gujranwala,,
Subhan Mobile Center,Gujranwala,Khayali bypass G.T Road Gujranwala,,
MASHAALLAH G/S,Gujranwala,GALLA RANA AMAN ULLAH RANA COLONY GUJRANWALA,,
Nadeem Mobile,Bhuda Gurya,"1, Main Bazar Bhuda guriaya, Kamokey, N/A Gujranwala, Gujranwala",,
Sameer Mobile,Gujranwala,MAin Kotly Rustam Hafizabad Road Gujranwala,,
Sahil Mobiile,Gujranwala,Bismillah Chok Samna Abad Gujranwala,,
G.M Mobile Center,Gujranwala,Sui Gas Wala Gala Hafiz Abad Road Gujranwala,,
Faizan Mobile,Gujranwala,Main Model Town Market Gujranwala,,
Minhaj Center,Gujranwala,Main Bazar Rajkot Gujranwala,,
Mehar Kiryana Store,Qila Didar Singh,"NA, Opp PSO Pump Ladha wala Warrich Kot Ishaq Gujranwala, Gujranwala, NA Gujranwala, Gujranwala",,
AliÂ HassanÂ Pco,Gujranwala,"Khayali Bypass Sheikhupra Road Gujranwala, Gujranwala, - Gujranwala, Gujranwala",,
Zain General Store,Gujranwala,Bukhari Colony Sheikh Pura Road Gujranwala,,
Hina Mobile Center,Gujranwala,Kanghani Wala Bazar Sarfraz Colony Gujranwala,,
Khayli Compters,Gujranwala,Khayli Bi Pass Sheikhu pura Road Gujranwala,,
Al-Noor Mbl Shop,Gujranwala,Khalid Street Fareed Town Muhalla Ali Park Gujranwala,,
Ayan PCO,Gujranwala,Main Model Town Kot Bullah Gujranwala,,
S.S DVD Center,Gujranwala,Main Bazar Samnabad Shaheenabad Gujranwala,,
Hamid Mobile Center,Qila Didar Singh,"NA, Allam Chowk Pindi Buy pass Road Gujranwala, Gujranwala, NA Gujranwala, Gujranwala",,
Malik G/store,Gujranwala,Galla Master Ibrahim Wala Noshera Road Gujranwala,,
Zakwan Mobile,Gujranwala,Collage Road Gujranwala,,
Bismillah Pco,Gujranwala,"1, Hafizabad Road St# 1 Mohalla Rasheed Colony Gujranwala, Gujranwala, N/A Gujranwala, Gujranwala",,
G.M MOBILE,Gujranwala,RAKH KIKRA WALI POST OFFICE KHAS GUJRANWALA,,
Y.S MOBILE,Gujranwala,FEROZE WALA ROAD TARIQ ISLAM CHOWK ST NO 19 GUJRANWALA,,
Chand Mobile,Gujranwala,Main Bazar Shaheenabad Madni Chowk Gujranwala,,
Matloob PCO,Gujranwala,Nobel Fan Road Muhallah Javaid Town Shaheenabad Gujranwala,,
KASHIF MOBILE,Sheikhupura,"GUJRANWALA ROAD, BATTI CHOWK",,
MALIK EASY LOAD CENTER,Sheikhupura,GUJRANWALA ROAD HARDAVE VILLAGE DISTRICT SHEIKHUPURA,,
M.A Mobile,Sheikhupura,Gujranwala Road Khanqa Dogran,,
ALKHERI GENERAL STORE,Sheikhupura,GUJRANWALA ROAD NEAR MOTORWAY INTERCHANGE SHEIKHUPURA,,
Rehman G.S,Wazirabad,"Langian Wali Morr, Wazirabad, N/A Gujranwala, Wazir Abad",,
Hamid Ali PCO,Gujranwala,Muhallah Sultan Pura Gali No 5 Sadiq Road Gujranwala,,
Sabir Mobile Center,Gujranwala,Galla Haji Kareem Wala Hafizabad Road Gujranwala,,
Usman Electronic,Gujranwala,Khand Bazaar Lakara Wala pull Gujranwala,,
Bandan Mobile,Gujranwala,Main Hafizabad Road Near Rasheed Colony Gujranwala,,
Ali Zone mobile,Gujranwala,Qazafi Road hafizabad |Gujranwala,,
Sufi Mobile,Gujranwala,"Gali No,6 Mohallah Rasool Pura Jinnah road Gujranwala",,
M Yaseen Pco,Gujranwala,Mian Sansi Bazar # 2 Gujranwala,,
Ahmed Mobile Center,Gujranwala,Gorry Shah Road Moh: Ramzan Pura Noshera Road Gujranwala,,
Babar Awan Card House,Kamoki,"1, Main G T Road Kamoki, Kamokey, N/A Gujranwala, Gujranwala",,
Zain Mobile,Kamoke,Rafique kot kamoki District Gujranwala,,
ALAM ZEB PCO,Peshawar,KOHAT ROAD BADABER WHITE MOSQUE PESHAWAR,,
Afridi PCO,Peshawar,Madina Colouny Rashedd Abad#2 Peshawar,,
IRSHAD CUSTOMER SRRVICE,Peshawar,MAIN BAZAR SHEIKHNOO MOHLLA MOSA ZAI PESHAWAR,,
Shahid Mobile,Peshawar,Bajjori Gate Shoba Bazar Peshawar,,
IMRAN COMMUNICATION,Karachi,"SHOP NO 4 OPP PESHAWARI ICE CREAM, PAREEDY STREET SADDAR",,
Bright Link,Islamabad,Peshawar Mor G-9/4,,
Aman Mobile,Peshawar,mathra Bazar warsak road peshawar,,
